hour	channel	value	hour_text	channel_text	programs
14	2	273	17 Sep 2015 12:00 UTC	CNN	Newsroom
14	3	338	17 Sep 2015 12:00 UTC	FOX-News	Fox and Friends
14	4	0	17 Sep 2015 12:00 UTC	France	None
14	5	0	17 Sep 2015 12:00 UTC	HLN	None
14	6	0	17 Sep 2015 12:00 UTC	KABC	None
14	7	0	17 Sep 2015 12:00 UTC	KCAL	None
14	8	0	17 Sep 2015 12:00 UTC	KCBS	None
14	9	0	17 Sep 2015 12:00 UTC	KMEX	None
14	10	0	17 Sep 2015 12:00 UTC	KNBC	None
14	11	0	17 Sep 2015 12:00 UTC	KTTV-FOX	None
14	12	0	17 Sep 2015 12:00 UTC	MSNBC	None
14	13	0	17 Sep 2015 12:00 UTC	Spain	None
14	14	0	17 Sep 2015 12:00 UTC	WEWS	None
14	15	0	17 Sep 2015 12:00 UTC	WKYC	None
14	16	0	17 Sep 2015 12:00 UTC	WUAB	None
14	17	0	17 Sep 2015 12:00 UTC	World	None
15	1	0	17 Sep 2015 13:00 UTC	AlJazeera	None
15	2	273	17 Sep 2015 13:00 UTC	CNN	Newsroom
15	3	325	17 Sep 2015 13:00 UTC	FOX-News	Americas Newsroom
15	4	0	17 Sep 2015 13:00 UTC	France	None
15	5	287	17 Sep 2015 13:00 UTC	HLN	HLN Morning Express
15	6	0	17 Sep 2015 13:00 UTC	KABC	None
15	7	0	17 Sep 2015 13:00 UTC	KCAL	None
15	8	0	17 Sep 2015 13:00 UTC	KCBS	None
15	9	0	17 Sep 2015 13:00 UTC	KMEX	None
15	10	0	17 Sep 2015 13:00 UTC	KNBC	None
15	11	0	17 Sep 2015 13:00 UTC	KTTV-FOX	None
15	12	254	17 Sep 2015 13:00 UTC	MSNBC	The Rundown with Jose Diaz-Balart
15	13	0	17 Sep 2015 13:00 UTC	Spain	None
15	14	0	17 Sep 2015 13:00 UTC	WEWS	None
15	15	0	17 Sep 2015 13:00 UTC	WKYC	None
15	16	0	17 Sep 2015 13:00 UTC	WUAB	None
15	17	0	17 Sep 2015 13:00 UTC	World	None
16	1	0	17 Sep 2015 14:00 UTC	AlJazeera	None
16	2	295	17 Sep 2015 14:00 UTC	CNN	Newsroom
16	3	448	17 Sep 2015 14:00 UTC	FOX-News	Americas Newsroom
16	4	0	17 Sep 2015 14:00 UTC	France	None
16	5	375	17 Sep 2015 14:00 UTC	HLN	HLN Morning Express
16	6	344	17 Sep 2015 14:00 UTC	KABC	Good Morning America
16	7	0	17 Sep 2015 14:00 UTC	KCAL	None
