hour	channel	value	hour_text	channel_text	programs
13	12	0	17 Sep 2015 11:00 UTC	MSNBC	None
13	13	0	17 Sep 2015 11:00 UTC	Spain	None
13	14	0	17 Sep 2015 11:00 UTC	WEWS	None
13	15	0	17 Sep 2015 11:00 UTC	WKYC	None
13	16	0	17 Sep 2015 11:00 UTC	WUAB	None
13	17	0	17 Sep 2015 11:00 UTC	World	None
14	1	0	17 Sep 2015 12:00 UTC	AlJazeera	None
14	2	190	17 Sep 2015 12:00 UTC	CNN	Newsroom
14	3	265	17 Sep 2015 12:00 UTC	FOX-News	Fox and Friends
14	4	0	17 Sep 2015 12:00 UTC	France	None
14	5	0	17 Sep 2015 12:00 UTC	HLN	None
14	6	0	17 Sep 2015 12:00 UTC	KABC	None
14	7	0	17 Sep 2015 12:00 UTC	KCAL	None
14	8	0	17 Sep 2015 12:00 UTC	KCBS	None
14	9	0	17 Sep 2015 12:00 UTC	KMEX	None
14	10	120	17 Sep 2015 12:00 UTC	KNBC	Today in LA at 430am
14	11	0	17 Sep 2015 12:00 UTC	KTTV-FOX	None
14	12	0	17 Sep 2015 12:00 UTC	MSNBC	None
14	13	0	17 Sep 2015 12:00 UTC	Spain	None
14	14	0	17 Sep 2015 12:00 UTC	WEWS	None
14	15	0	17 Sep 2015 12:00 UTC	WKYC	None
14	16	0	17 Sep 2015 12:00 UTC	WUAB	None
14	17	0	17 Sep 2015 12:00 UTC	World	None
15	1	220	17 Sep 2015 13:00 UTC	AlJazeera	News
15	2	197	17 Sep 2015 13:00 UTC	CNN	Newsroom
15	3	215	17 Sep 2015 13:00 UTC	FOX-News	Americas Newsroom
15	4	0	17 Sep 2015 13:00 UTC	France	None
15	5	220	17 Sep 2015 13:00 UTC	HLN	HLN Morning Express
15	6	0	17 Sep 2015 13:00 UTC	KABC	None
15	7	0	17 Sep 2015 13:00 UTC	KCAL	None
15	8	0	17 Sep 2015 13:00 UTC	KCBS	None
15	9	0	17 Sep 2015 13:00 UTC	KMEX	None
15	10	0	17 Sep 2015 13:00 UTC	KNBC	None
15	11	164	17 Sep 2015 13:00 UTC	KTTV-FOX	Morning News at 6AM
15	12	168	17 Sep 2015 13:00 UTC	MSNBC	The Rundown with Jose Diaz-Balart
15	13	0	17 Sep 2015 13:00 UTC	Spain	None
15	14	0	17 Sep 2015 13:00 UTC	WEWS	None
15	15	0	17 Sep 2015 13:00 UTC	WKYC	None
15	16	0	17 Sep 2015 13:00 UTC	WUAB	None
15	17	0	17 Sep 2015 13:00 UTC	World	None
16	1	0	17 Sep 2015 14:00 UTC	AlJazeera	None
16	2	207	17 Sep 2015 14:00 UTC	CNN	Newsroom
16	3	331	17 Sep 2015 14:00 UTC	FOX-News	Americas Newsroom
16	4	0	17 Sep 2015 14:00 UTC	France	None
16	5	263	17 Sep 2015 14:00 UTC	HLN	HLN Morning Express
16	6	234	17 Sep 2015 14:00 UTC	KABC	Good Morning America
16	7	0	17 Sep 2015 14:00 UTC	KCAL	None
16	8	203	17 Sep 2015 14:00 UTC	KCBS	This Morning
16	9	0	17 Sep 2015 14:00 UTC	KMEX	None
16	10	169	17 Sep 2015 14:00 UTC	KNBC	Today Show
16	11	0	17 Sep 2015 14:00 UTC	KTTV-FOX	None
16	12	230	17 Sep 2015 14:00 UTC	MSNBC	The Rundown with Jose Diaz-Balart
16	13	0	17 Sep 2015 14:00 UTC	Spain	None
16	14	0	17 Sep 2015 14:00 UTC	WEWS	None
16	15	0	17 Sep 2015 14:00 UTC	WKYC	None
16	16	0	17 Sep 2015 14:00 UTC	WUAB	None
16	17	0	17 Sep 2015 14:00 UTC	World	None
17	1	0	17 Sep 2015 15:00 UTC	AlJazeera	None
17	2	255	17 Sep 2015 15:00 UTC	CNN	This Hour With Berman and Michaela
17	3	193	17 Sep 2015 15:00 UTC	FOX-News	Happening Now
17	4	0	17 Sep 2015 15:00 UTC	France	None
17	5	241	17 Sep 2015 15:00 UTC	HLN	HLN Morning Express
17	6	162	17 Sep 2015 15:00 UTC	KABC	Good Morning America
17	7	0	17 Sep 2015 15:00 UTC	KCAL	None
17	8	154	17 Sep 2015 15:00 UTC	KCBS	This Morning
17	9	0	17 Sep 2015 15:00 UTC	KMEX	None
17	10	130	17 Sep 2015 15:00 UTC	KNBC	Today Show
17	11	0	17 Sep 2015 15:00 UTC	KTTV-FOX	None
17	12	0	17 Sep 2015 15:00 UTC	MSNBC	None
17	13	0	17 Sep 2015 15:00 UTC	Spain	None
17	14	0	17 Sep 2015 15:00 UTC	WEWS	None
17	15	0	17 Sep 2015 15:00 UTC	WKYC	None
17	16	0	17 Sep 2015 15:00 UTC	WUAB	None
17	17	90	17 Sep 2015 15:00 UTC	World	Newsroom Tokyo
18	1	0	17 Sep 2015 16:00 UTC	AlJazeera	None
18	2	183	17 Sep 2015 16:00 UTC	CNN	Legal View With Ashleigh Banfield
18	3	0	17 Sep 2015 16:00 UTC	FOX-News	None
18	4	0	17 Sep 2015 16:00 UTC	France	None
18	5	162	17 Sep 2015 16:00 UTC	HLN	The Daily Share
18	6	0	17 Sep 2015 16:00 UTC	KABC	None
18	7	0	17 Sep 2015 16:00 UTC	KCAL	None
18	8	0	17 Sep 2015 16:00 UTC	KCBS	None
18	9	0	17 Sep 2015 16:00 UTC	KMEX	None
18	10	82	17 Sep 2015 16:00 UTC	KNBC	Today Show
18	11	0	17 Sep 2015 16:00 UTC	KTTV-FOX	None
18	12	0	17 Sep 2015 16:00 UTC	MSNBC	None
18	13	0	17 Sep 2015 16:00 UTC	Spain	None
18	14	0	17 Sep 2015 16:00 UTC	WEWS	None
18	15	0	17 Sep 2015 16:00 UTC	WKYC	None
18	16	0	17 Sep 2015 16:00 UTC	WUAB	None
18	17	295	17 Sep 2015 16:00 UTC	World	Democracy Now
19	1	0	17 Sep 2015 17:00 UTC	AlJazeera	None
19	2	247	17 Sep 2015 17:00 UTC	CNN	Wolf
19	3	172	17 Sep 2015 17:00 UTC	FOX-News	Happening Now
19	4	0	17 Sep 2015 17:00 UTC	France	None
19	5	130	17 Sep 2015 17:00 UTC	HLN	The Daily Share
19	6	141	17 Sep 2015 17:00 UTC	KABC	The View
19	7	0	17 Sep 2015 17:00 UTC	KCAL	None
19	8	0	17 Sep 2015 17:00 UTC	KCBS	None
19	9	0	17 Sep 2015 17:00 UTC	KMEX	None
19	10	0	17 Sep 2015 17:00 UTC	KNBC	None
19	11	0	17 Sep 2015 17:00 UTC	KTTV-FOX	None
19	12	265	17 Sep 2015 17:00 UTC	MSNBC	MSNBC Live with Thomas Roberts
19	13	0	17 Sep 2015 17:00 UTC	Spain	None
19	14	0	17 Sep 2015 17:00 UTC	WEWS	None
19	15	0	17 Sep 2015 17:00 UTC	WKYC	None
19	16	0	17 Sep 2015 17:00 UTC	WUAB	None
19	17	0	17 Sep 2015 17:00 UTC	World	None
20	1	0	17 Sep 2015 18:00 UTC	AlJazeera	None
20	2	216	17 Sep 2015 18:00 UTC	CNN	Newsroom
20	3	0	17 Sep 2015 18:00 UTC	FOX-News	None
20	4	0	17 Sep 2015 18:00 UTC	France	None
20	5	0	17 Sep 2015 18:00 UTC	HLN	None
20	6	127	17 Sep 2015 18:00 UTC	KABC	Eyewitness News 11AM
20	7	0	17 Sep 2015 18:00 UTC	KCAL	None
20	8	0	17 Sep 2015 18:00 UTC	KCBS	None
20	9	0	17 Sep 2015 18:00 UTC	KMEX	None
20	10	0	17 Sep 2015 18:00 UTC	KNBC	None
20	11	0	17 Sep 2015 18:00 UTC	KTTV-FOX	None
20	12	292	17 Sep 2015 18:00 UTC	MSNBC	MSNBC Live with Thomas Roberts
20	13	0	17 Sep 2015 18:00 UTC	Spain	None
20	14	0	17 Sep 2015 18:00 UTC	WEWS	None
20	15	0	17 Sep 2015 18:00 UTC	WKYC	None
20	16	0	17 Sep 2015 18:00 UTC	WUAB	None
20	17	0	17 Sep 2015 18:00 UTC	World	None
21	1	0	17 Sep 2015 19:00 UTC	AlJazeera	None
21	2	201	17 Sep 2015 19:00 UTC	CNN	Newsroom
21	3	222	17 Sep 2015 19:00 UTC	FOX-News	Shephard Smith Reporting
21	4	0	17 Sep 2015 19:00 UTC	France	None
21	5	60	17 Sep 2015 19:00 UTC	HLN	The Daily Share
21	6	0	17 Sep 2015 19:00 UTC	KABC	None
21	7	0	17 Sep 2015 19:00 UTC	KCAL	None
21	8	0	17 Sep 2015 19:00 UTC	KCBS	None
21	9	0	17 Sep 2015 19:00 UTC	KMEX	None
21	10	138	17 Sep 2015 19:00 UTC	KNBC	KNBC 4 News at Noon
21	11	0	17 Sep 2015 19:00 UTC	KTTV-FOX	None
21	12	0	17 Sep 2015 19:00 UTC	MSNBC	None
21	13	0	17 Sep 2015 19:00 UTC	Spain	None
21	14	0	17 Sep 2015 19:00 UTC	WEWS	None
21	15	0	17 Sep 2015 19:00 UTC	WKYC	None
21	16	0	17 Sep 2015 19:00 UTC	WUAB	None
21	17	0	17 Sep 2015 19:00 UTC	World	None
22	1	0	17 Sep 2015 20:00 UTC	AlJazeera	None
22	2	305	17 Sep 2015 20:00 UTC	CNN	The Lead With Jake Tapper
22	3	0	17 Sep 2015 20:00 UTC	FOX-News	None
22	4	0	17 Sep 2015 20:00 UTC	France	None
22	5	0	17 Sep 2015 20:00 UTC	HLN	None
22	6	0	17 Sep 2015 20:00 UTC	KABC	None
22	7	0	17 Sep 2015 20:00 UTC	KCAL	None
22	8	0	17 Sep 2015 20:00 UTC	KCBS	None
22	9	0	17 Sep 2015 20:00 UTC	KMEX	None
22	10	0	17 Sep 2015 20:00 UTC	KNBC	None
22	11	0	17 Sep 2015 20:00 UTC	KTTV-FOX	None
22	12	0	17 Sep 2015 20:00 UTC	MSNBC	None
22	13	0	17 Sep 2015 20:00 UTC	Spain	None
22	14	0	17 Sep 2015 20:00 UTC	WEWS	None
22	15	0	17 Sep 2015 20:00 UTC	WKYC	None
22	16	0	17 Sep 2015 20:00 UTC	WUAB	None
22	17	0	17 Sep 2015 20:00 UTC	World	None
23	1	272	17 Sep 2015 21:00 UTC	AlJazeera	News
23	2	238	17 Sep 2015 21:00 UTC	CNN	Situation Room
23	3	0	17 Sep 2015 21:00 UTC	FOX-News	None
23	4	0	17 Sep 2015 21:00 UTC	France	None
23	5	0	17 Sep 2015 21:00 UTC	HLN	None
23	6	0	17 Sep 2015 21:00 UTC	KABC	None
23	7	0	17 Sep 2015 21:00 UTC	KCAL	None
23	8	0	17 Sep 2015 21:00 UTC	KCBS	None
23	9	0	17 Sep 2015 21:00 UTC	KMEX	None
23	10	112	17 Sep 2015 21:00 UTC	KNBC	Access Hollywood Live
23	11	42	17 Sep 2015 21:00 UTC	KTTV-FOX	The Doctor Oz Show
23	12	278	17 Sep 2015 21:00 UTC	MSNBC	MSNBC Live
23	13	0	17 Sep 2015 21:00 UTC	Spain	None
23	14	154	17 Sep 2015 21:00 UTC	WEWS	Live on 5
23	15	0	17 Sep 2015 21:00 UTC	WKYC	None
23	16	0	17 Sep 2015 21:00 UTC	WUAB	None
23	17	0	17 Sep 2015 21:00 UTC	World	None
24	1	217	17 Sep 2015 22:00 UTC	AlJazeera	News, TechKnow
24	2	214	17 Sep 2015 22:00 UTC	CNN	Situation Room
24	3	253	17 Sep 2015 22:00 UTC	FOX-News	Special Report with Bret Baier
24	4	0	17 Sep 2015 22:00 UTC	France	None
24	5	0	17 Sep 2015 22:00 UTC	HLN	None
24	6	0	17 Sep 2015 22:00 UTC	KABC	None
24	7	0	17 Sep 2015 22:00 UTC	KCAL	None
24	8	0	17 Sep 2015 22:00 UTC	KCBS	None
24	9	0	17 Sep 2015 22:00 UTC	KMEX	None
24	10	0	17 Sep 2015 22:00 UTC	KNBC	None
24	11	0	17 Sep 2015 22:00 UTC	KTTV-FOX	None
24	12	211	17 Sep 2015 22:00 UTC	MSNBC	Politics Nation With Al Sharpton
24	13	0	17 Sep 2015 22:00 UTC	Spain	None
